hdi_rank,country,gii_2023,gii_rank_2023,mmr_2020,adolescent_birth_rate_2023,parliament_seats_female_pct_2023,secondary_education_female_pct_2023,secondary_education_male_pct_2023,labour_force_female_pct_2023,labour_force_male_pct_2023
72,Trinidad and Tobago,0.262,,26.58299776,35.994,33.78378378,73.0368576,70.68683624,46.73,64.19
73,Mauritius,0.352,,84.35797631,19.768,20,60.37379074,71.32611084,46.86,69.7
74,Bosnia and Herzegovina,0.157,,5.668398678,11.217,17.54385965,86.19000244,96.19999695,42.17,62.07
75,Iran (Islamic Republic of),0.482,,22.01888656,26.204,5.594405594,59.11103439,69.50079346,13.58,67.54
76,Saint Vincent and the Grenadines,..,,61.79403226,42.3,18.18181818,46.30026612,41.4965007,..,..
76,Thailand,0.288,,28.60043381,26.145,16.04278075,51.93360519,56.7260437,60.61,76.61
78,China,0.132,,23.04763188,5.227,26.536782,68.27756009,77.92204646,54.6,75.57
79,Peru,0.34,,68.53598225,43.562,38.75968992,65.91856384,73.87255859,65.1,80.5
80,Grenada,0.226,,21.13828979,29.088,31.03448276,55.39766312,50.79099655,49.09,63.34
81,Azerbaijan,0.315,,40.76367015,34.767,18.6440678,97.95999908,98.44999695,61.9,69.6
81,Mexico,0.358,,59.12507106,60.099,50.07974482,65.31999969,67.04000092,46.24,76.35
83,Colombia,0.393,,74.76289736,59.473,29.35153584,62.17947769,59.75258255,52.02,76.45
84,Brazil,0.39,,72.14753684,42.686,17.67676768,69.95471191,67.55175018,53.1,73.1
84,Palau,..,,..,29.927,6.896551724,96.23408175,92.87186089,60.47,73.66
86,Moldova (Republic of),0.146,,12.2647713,23.04,38.61386139,97.96073914,98.68965149,70.05,71.66
87,Ukraine,..,,16.54036907,11.377,20.43269231,..,..,47.41,62.32
88,Ecuador,0.358,,65.74967089,55.531,43.06569343,54.18000031,54.27000046,52.92,77.3
89,Dominican Republic,0.417,,107.3475396,52.774,25.67567568,62.33276749,58.65975571,52.78,76.87
89,Guyana,0.427,,111.9429401,69.927,36.61971831,59.42434051,57.66400697,39.68,61.75
89,Sri Lanka,0.367,,28.84230517,15.091,5.333333333,81.12000275,83.08999634,31.98,70.46
92,Tonga,0.444,,125.6376347,24.841,7.142857143,94.15498352,94.06182098,53.25,71.41
93,Maldives,0.309,,56.69380391,5.425,4.597701149,48.58955123,47.73134926,55.44,78.82
93,Viet Nam,0.299,,45.53002524,34.277,30.26052104,61.49235535,69.95453644,67.92,76.65
95,Turkmenistan,..,,5.148083393,21.227,25.6,98.10442656,98.31513198,..,..
96,Algeria,0.443,,77.69478932,8.698,6.759098787,47.02550941,51.2984269,17.61,65.5
97,Cuba,0.296,,39.25454627,48.674,55.74468085,78.5051186,81.6252267,57.27,84.71
98,Dominica,..,,..,34.138,37.5,57.87776947,64.92984772,..,..
99,Paraguay,0.412,,71.12280792,70.332,23.2,57.47999954,56.93999863,59.15,82.84
100,Egypt,0.398,,16.81970781,41.754,22.86995516,62.5342486265667,70.2367875004567,15,69.2
100,Jordan,0.433,,41.31479125,18.425,13.33333333,73.75,85.77999878,13.75,60.54
102,Lebanon,0.36,,20.62462437,20.831,6.25,64.07987213,65.93313599,30.45,70.27
103,Saint Lucia,0.327,,73.26797861,27.829,24.13793103,50.1531957,44.24373433,62.66,75.83
104,Mongolia,0.284,,39.49361184,19.739,17.10526316,94.17471313,92.67166901,52.75,68.87
105,Tunisia,0.238,,36.62558326,4.315,16.23376623,38.88265991,45.50070953,26.68,64.89
106,South Africa,0.388,,126.8326855,51.56,45.69536424,76.97850037,78.70426178,49.02,61.41
107,Uzbekistan,0.291,,30.17849377,34.081,30,99.95999908,100,43.6,71.95
108,Bolivia (Plurinational State of),0.419,,160.9074003,64.848,48.19277108,57.39128113,67.75666809,72.59,84.51
108,Gabon,0.505,,226.5504366,91.707,23.80952381,71.6,56.92,39.66,57.36
108,Marshall Islands,..,,..,71.839,12.12121212,96.32091978,97.11649956,42.74,60.82
111,Botswana,0.49,,185.8968424,53.805,11.11111111,71.38044739,72.59111786,63.07,73.13
111,Fiji,0.35,,38.04679493,21.169,10.90909091,87.93000031,86.69000244,38.43,75.77
113,Indonesia,0.423,,172.9225117,26.419,21.56521739,53.47619629,59.8652916,53.39,82.23
114,Suriname,0.391,,96.45954135,48.032,29.41176471,45.46498871,42.28636169,47.79,66.75
115,Belize,0.428,,129.7882665,55.232,23.91304348,57.52011098,52.0299018,65.42,84.89
115,Libya,0.253,,72.12710336,5.923,16.47058824,62.1799143,45.33414026,33.24,60.28
117,Jamaica,0.358,,98.87891185,36.541,30.95238095,79.83744812,74.27178192,60.58,72.38
117,Kyrgyzstan,0.34,,50.38244477,28.324,20,91.17383205,93.56811794,45.87,74.68
117,Philippines,0.351,,78.23625789,31.887,27.46268657,63.63053894,60.02550125,50.24,72.54
120,Morocco,0.438,,71.85185202,25.103,21.3592233,33.04,38.76,19.8,69.6
121,Venezuela (Bolivarian Republic of),0.512,,259.1864495,73.295,22.15568862,77.03330617,72.37374198,47.23,71.79
122,Samoa,0.416,,59.07907356,43.538,12.96296296,94.41331482,89.97725677,31.41,56.59
123,Nicaragua,0.408,,77.87857279,93.452,51.64835165,60.5289917,63.1129303,51.19,82.34
124,Nauru,..,,..,76.239,10.52631579,..,..,56.86,72.68
125,Bhutan,0.278,,59.94775675,9.364,15.49295775,26.6817707,34.25285327,56.83,72.42
126,Eswatini (Kingdom of),0.484,,239.6323914,68.726,25,45.82078934,52.96820831,47.08,52.26
126,Iraq,0.558,,76.11045758,58.006,29.05198777,24.51470566,39.81149292,10.66,67.21
128,Tajikistan,0.258,,16.63169841,40.437,26.59574468,93.69561601,93.59177214,34.43,52.67
129,Tuvalu,..,,..,27.507,6.25,61.13606856,60.55410571,35.22,52.41
130,Bangladesh,0.487,,123.0282527,73.179,20.85714286,43.2323494,47.99460602,43.35,80.77
130,India,0.403,,102.653912,14.06,14.81958763,43.5,61.09000015,35.08,76.41
132,El Salvador,0.362,,42.79046022,54.23,27.38095238,46.43999863,52.75,48.79,78.1
133,Equatorial Guinea,..,,212.3303009,150.442,27.01149425,..,..,..,..
133,"Palestine, State of",..,,20.43431277,36.043,..,70.62000275,68.31999969,18.58,70.74
135,Cabo Verde,0.298,,42.24144007,38.755,41.66666667,30.24968299,34.75653105,44.92,61.93
136,Namibia,0.448,,214.6350593,66.034,35.61643836,73.29117078,70.65620374,55.29,60.72
137,Guatemala,0.48,,95.50207508,68.269,20,29.93443489,35.8862381,39.67,82.23
138,Congo,0.565,,282.3857526,109.88,20.1793722,32.54524096,50.60284308,44.58,65.03
139,Honduras,0.437,,71.81927749,82.079,27.34375,30.01161385,28.62348557,40.31,75.39
140,Kiribati,..,,76.33471243,44.026,6.666666667,..,..,43,54.82
141,Sao Tome and Principe,0.492,,146.2400532,86.195,14.54545455,42.62759478,52.46460037,25.66,25.86
142,Timor-Leste,0.394,,203.9242348,27.406,36.92307692,35.26085281,40.8955307,40.87,52.46
143,Ghana,0.514,,263.1085862,58.238,14.54545455,45.62493134,65.05153656,62.08,65.46
143,Kenya,0.526,,529.9622562,56.313,24.57831325,60.47143173,70.12114716,62.82,72.37
145,Nepal,0.487,,174.4101759,67.169,33.2326284,26.58511925,43.19102859,33.06,56.11
146,Vanuatu,0.556,,94.44281395,66.219,1.923076923,46.55148607,48.22117535,43.1,48.79
147,Lao People's Democratic Republic,0.475,,126.0617471,81.654,21.95121951,19.33584308,30.95075034,61.47,70.76
148,Angola,0.515,,221.9064903,140.84,39.09090909,28.95502853,52.30802536,75.58,78.65
149,Micronesia (Federated States of),..,,74.31193375,43.719,14.28571429,..,..,48.55,68.05
150,Myanmar,0.478,,178.6743751,33.506,14.97659906,38.50999832,47.79999924,43.58,76.7
151,Cambodia,0.506,,217.983153,46.89,14.43850267,16.44873047,29.0128994,70.48,83.81
152,Comoros,0.501,,216.9537272,55.233,16.66666667,27.32346916,36.34283066,49.34,64.48
153,Zimbabwe,0.519,,356.7589193,98.057,34.01162791,88.80834198,92.86135101,62.1,74.35
154,Zambia,0.524,,134.6654218,115.907,14.97005988,35.47123439,52.88047445,56.37,67.77
155,Cameroon,0.558,,437.7528524,106.661,32.85714286,25.03134421,39.39577377,56.34,74.02
156,Solomon Islands,0.478,,122.2495124,50.372,8,38.15912628,47.77222824,87.08,87.69
157,Côte d'Ivoire,0.589,,479.9067504,92.085,16.76136364,20.01000023,32.68000031,59.58,75.53
157,Uganda,0.524,,284.1407767,106.954,33.81294964,24.62204953,40.40536553,74.52,85.81
159,Rwanda,0.394,,258.9246287,30.779,54.71698113,20.51786804,24.46517372,58.14,69.91
160,Papua New Guinea,0.584,,191.8387443,54.069,2.702702703,27.42830276,41.30956268,50.65,53.27
161,Togo,0.564,,399.0398502,77.05,19.78021978,14.2523715,33.26448225,69.06,72.71
162,Syrian Arab Republic,0.49,,29.91732592,38.91,10.8,24.05722504,31.98297212,14.67,69.79
163,Mauritania,0.603,,463.8320971,88.903,23.29545455,16.69512347,27.85151166,31.61,66.55
164,Nigeria,0.677,,1047.235352,86.432,3.640256959,42.39007187,57.8144989,80.74,84.45
165,Tanzania (United Republic of),0.504,,238.2987945,113.209,37.40458015,12.57322025,18.29964066,74.87,84.02
166,Haiti,0.618,,350.4002257,49.775,2.739726027,26.97475052,36.01784134,50.13,65.57
167,Lesotho,0.534,,566.2062536,70.642,25.97402597,35.31088365,30.64831456,53.64,63.89
168,Pakistan,0.536,,154.1639358,41.095,20.13574661,27.79541588,48.40658188,25.04,81.08
169,Senegal,0.49,,260.8806328,60.242,46.06060606,15.3707943,24.83412933,39.19,68.71
170,Gambia,0.578,,458.2402899,58.094,8.620689655,35.50448608,49.53837204,45.38,50.07
171,Congo (Democratic Republic of the),0.604,,547.360277,106.884,14.77832512,40.78142696,66.72015227,59.73,66.01
172,Malawi,0.581,,380.6698944,113.577,20.7253886,13.43464886,26.85742248,63.75,74.89
173,Benin,0.573,,522.604743,77.844,26.60550459,7.217569828,20.95940971,74.72,78.04
174,Guinea-Bissau,0.632,,725.0924251,81.981,9.803921569,27.29916763,50.61357117,60.13,70.18
175,Djibouti,0.481,,234.4900707,18.972,26.15384615,16.74944232,34.09422217,19.04,48.41
176,Sudan,0.588,,270.3553499,66.071,31.04166667,22.53648567,26.93253136,14.39,61.87
177,Liberia,0.646,,652.3387327,126.012,10.67961165,24.04899238,46.49836577,46.02,52.76
178,Eritrea,..,,321.5507139,65.177,22,..,..,..,..
179,Guinea,0.609,,553.4015874,118.577,29.62962963,8.103421695,21.11725084,47,68.16
180,Ethiopia,0.497,,266.6895641,69.865,38.7987013,7.422346146,12.67266475,55.59,78.07
181,Afghanistan,0.661,,620.4075093,64.068,27.21518987,7.042049885,24.07703972,24.48,88.62
182,Mozambique,0.479,,127.1105289,153.45,43.2,13.24835014,23.6937294,76.58,82.36
183,Madagascar,0.584,,391.5169181,129.802,17.15976331,15.90098,21.22050095,68.88,81.56
184,Yemen,0.838,,183.3997163,75.328,0.298507463,20.66437912,47.16125107,5.91,65.7
185,Sierra Leone,0.566,,442.8304294,93.592,28.18791946,14.70649611,34.37999325,50.15,56.34
186,Burkina Faso,0.555,,263.7554049,87.082,16.90140845,7.322117805,12.99665451,41.8,54.45
187,Burundi,0.501,,494.4297813,53.364,38.88888889,8.56058616,14.52190699,77.73,79.29
188,Mali,0.612,,440.2247966,138.564,28.57142857,8.232461542,16.41453099,41.85,77.65
188,Niger,0.591,,441.0725479,145.324,25.90361446,6.100903988,11.50409222,73.37,87.32
190,Chad,0.67,,1063.493291,134.738,25.88832487,3.708090067,15.06921959,52.36,76.8
191,Central African Republic,..,,835.266007,163.093,12.85714286,14.58,31.98,..,..
192,Somalia,0.675,,620.6823212,117.1,20.73170732,4.449999809,17.78000069,22.17,49.46
193,South Sudan,..,,1222.530912,97.132,32.33438486,26.54000092,36.36000061,..,..
